Title;Front;Back
0165 Compare Version Numbers;"https://leetcode.com/problems/compare-version-numbers/description/

* algorithms
* Medium (22.74%)
* Total Accepted:    127.7K
* Total Submissions: 561.1K
* Testcase Example:  '""0.1""\n""1.1""'

Compare two version numbers version1 and version2.
If version1 > version2 return 1; if version1 < version2 return -1;otherwise return 0.

You may assume that the version strings are non-empty and contain only digits and the . character.
The . character does not represent a decimal point and is used to separate number sequences.
For instance, 2.5 is not ""two and a half"" or ""half way to version three"", it is the fifth second-level revision of the second first-level revision.
You may assume the default revision number for each level of a version number to be 0. For example, version number 3.4 has a revision number of 3 and 4 for its first and second level revision number. Its third and fourth level revision number are both 0.

 

Example 1:

Input: version1 = ""0.1"", version2 = ""1.1""
Output: -1

Example 2:

Input: version1 = ""1.0.1"", version2 = ""1""
Output: 1

Example 3:

Input: version1 = ""7.5.2.4"", version2 = ""7.5.3""
Output: -1

Example 4:

Input: version1 = ""1.01"", version2 = ""1.001""
Output: 0
Explanation: Ignoring leading zeroes, both “01” and “001"" represent the same number “1”

Example 5:

Input: version1 = ""1.0"", version2 = ""1.0.0""
Output: 0
Explanation: The first version number does not have a third level revision number, which means its third level revision number is default to ""0""

 

Note:

Version strings are composed of numeric strings separated by dots . and this numeric strings may have leading zeroes. 
Version strings do not start or end with dots, and they will not be two consecutive dots.






";"
注意点
* 当 `int n1=0; while ...`结束时，i指向的是'.'所在的位置，此时要'i++'，方便下轮计算，如果出国len1也没关系，反正我们是判断'i < len1'。
* 外层while循环条件是或的关系，因为只要有一个满足就可以继续比较了。

```cpp
class Solution {
public:
    int compareVersion(const string& v1, const string& v2) {
        int len1 = v1.length(), len2 = v2.length(), i = 0, j = 0;
        while (i<len1 || j<len2) {
            int n1=0; while (i<len1 && v1[i]!='.') n1 = n1*10 + v1[i++] - '0'; i++;
            int n2=0; while (j<len2 && v2[j]!='.') n2 = n2*10 + v2[j++] - '0'; j++;
            if (n1 >  n2) return 1;
            if (n1 <  n2) return -1;
        }
        return 0;
    }
};
```


"
0164 Maximum Gap;"https://leetcode.com/problems/maximum-gap/description/

* algorithms
* Hard (31.89%)
* Total Accepted:    66.5K
* Total Submissions: 208.5K
* Testcase Example:  '[3,6,9,1]'

Given an unsorted array, find the maximum difference between the successive elements in its sorted form.

Return 0 if the array contains less than 2 elements.

Example 1:


Input: [3,6,9,1]
Output: 3
Explanation: The sorted form of the array is [1,3,6,9], either
             (3,6) or (6,9) has the maximum difference 3.

Example 2:


Input: [10]
Output: 0
Explanation: The array contains less than 2 elements, therefore return 0.

Note:


	You may assume all elements in the array are non-negative integers and fit in the 32-bit signed integer range.
	Try to solve it in linear time/space.







";"
桶排序，然后要注意的细节有：

* 计算gap的时候，用ceil是为了防止桶的范围不能覆盖到max的值。`realgap * (len - 1) ~= max;`
* 桶用了len个，而不是len-1个，也是为了防止桶的范围不能覆盖到max。 `gap * len  > max;`
* gap其实是平均的gap，区间中比如存在比其更大的gap，所以最后计算result的时候，没有判断`b.max - b.min`
* 可能存在空的桶，所以需要flag，来标记。
* 有可能所有的数字都是相等的，所以需要判断`if (gap) == 0`防止除0错误。

```cpp
class Solution {
public:
    int maximumGap(vector<int>& nums) {
        if (nums.size() <= 1) return 0;
        struct Bucket { 
            int max; int min; bool flag;
            Bucket() { min=INT_MAX; max=INT_MIN; flag=false; }
        };
        int in=INT_MAX, ax=INT_MIN, len=nums.size();
        for (int n : nums) in = min(in, n), ax = max(ax, n);
        int gap = ceil((ax-in) * 1.0 / (len-1)); if (gap == 0) return 0;
        vector<Bucket> buckets(len);
        for (int n : nums) {
            Bucket& b = buckets[(n-in) / gap];
            b.max = max(n, b.max); b.min = min(n, b.min);
            b.flag = true;
        }
        int result = 0, prev = in;
        for (Bucket& b : buckets) {
            if (!b.flag) continue;
            result = max(result, b.min-prev);
            prev = b.max;
        }
        return result;
    }
};
```


"
0162 Find Peak Element;"https://leetcode.com/problems/find-peak-element/description/

* algorithms
* Medium (40.76%)
* Total Accepted:    219.5K
* Total Submissions: 538.3K
* Testcase Example:  '[1,2,3,1]'

A peak element is an element that is greater than its neighbors.

Given an input array nums, where nums[i] ≠ nums[i+1], find a peak element and return its index.

The array may contain multiple peaks, in that case return the index to any one of the peaks is fine.

You may imagine that nums[-1] = nums[n] = -∞.

Example 1:


Input: nums = [1,2,3,1]
Output: 2
Explanation: 3 is a peak element and your function should return the index number 2.

Example 2:


Input: nums = [1,2,1,3,5,6,4]
Output: 1 or 5 
Explanation: Your function can return either index number 1 where the peak element is 2, 
             or index number 5 where the peak element is 6.


Note:

Your solution should be in logarithmic complexity.






";"
一遍过，类似二分的思路，如果右边有必当前值大的，那么右边就存在peak，同理左边也是，反正只要搜一边就可以了。如果两边都比当前小，那当前就是了。注意要判断索引的位置，同样如果当前是唯一的数字，那么当前就是peak。题目中的nums[i] != nums[i+1]条件很重要，不然就要用深搜了。

```cpp
class Solution {
public:
    int findPeakElement(vector<int>& nums) {
        int lo = 0, hi = nums.size(), len = nums.size(), mi;
        while (lo < hi) {
            mi = (lo + hi) >> 1;
            if (mi<=len-2 && nums[mi]<nums[mi+1]) {
                lo = mi+1;
            } else if (mi>=1 && nums[mi]<nums[mi-1]) {
                hi = mi;
            }  else {
                return mi;
            }
        }
    }
};
```


"
0160 Intersection of Two Linked Lists;"https://leetcode.com/problems/intersection-of-two-linked-lists/description/

* algorithms
* Easy (32.40%)
* Total Accepted:    276.2K
* Total Submissions: 852.1K
* Testcase Example:  '8\n[4,1,8,4,5]\n[5,0,1,8,4,5]\n2\n3'

Write a program to find the node at which the intersection of two singly linked lists begins.

For example, the following two linked lists:


begin to intersect at node c1.

 

Example 1:



Input: intersectVal = 8, listA = [4,1,8,4,5], listB = [5,0,1,8,4,5], skipA = 2, skipB = 3
Output: Reference of the node with value = 8
Input Explanation: The intersected node's value is 8 (note that this must not be 0 if the two lists intersect). From the head of A, it reads as [4,1,8,4,5]. From the head of B, it reads as [5,0,1,8,4,5]. There are 2 nodes before the intersected node in A; There are 3 nodes before the intersected node in B.

 

Example 2:



Input: intersectVal = 2, listA = [0,9,1,2,4], listB = [3,2,4], skipA = 3, skipB = 1
Output: Reference of the node with value = 2
Input Explanation: The intersected node's value is 2 (note that this must not be 0 if the two lists intersect). From the head of A, it reads as [0,9,1,2,4]. From the head of B, it reads as [3,2,4]. There are 3 nodes before the intersected node in A; There are 1 node before the intersected node in B.


 

Example 3:



Input: intersectVal = 0, listA = [2,6,4], listB = [1,5], skipA = 3, skipB = 2
Output: null
Input Explanation: From the head of A, it reads as [2,6,4]. From the head of B, it reads as [1,5]. Since the two lists do not intersect, intersectVal must be 0, while skipA and skipB can be arbitrary values.
Explanation: The two lists do not intersect, so return null.


 

Notes:


	If the two linked lists have no intersection at all, return null.
	The linked lists must retain their original structure after the function returns.
	You may assume there are no cycles anywhere in the entire linked structure.
	Your code should preferably run in O(n) time and use only O(1) memory.







";"
一遍过，计算二者的长度，然后根据尾部是否相等来判断是否存在交叉节点，最后根据m-n的差值对齐位置，在通过p == q就能找到交叉节点了。

```cpp
/**
 * Definition for singly-linked list.
 * struct ListNode {
 *     int val;
 *     ListNode *next;
 *     ListNode(int x) : val(x), next(NULL) {}
 * };
 */
class Solution {
public:
    ListNode *getIntersectionNode(ListNode *headA, ListNode *headB) {
        ListNode *p = headA, *q = headB;
        int m = 0; while (p) p = p->next, m++;
        int n = 0; while (q) q = q->next, n++;
        if (p != q) return NULL;
        p = headA, q = headB;
        if (m < n) swap(p, q), swap(m, n);
        for (int i=0; i<m-n; i++) p = p->next;
        while (p != q) p = p->next, q = q->next;
        return p;
    }
};
```
"
0155 Min Stack;"https://leetcode.com/problems/min-stack/description/

* algorithms
* Easy (35.74%)
* Total Accepted:    272K
* Total Submissions: 760.5K
* Testcase Example:  '[""MinStack"",""push"",""push"",""push"",""getMin"",""pop"",""top"",""getMin""]\n[[],[-2],[0],[-3],[],[],[],[]]'


Design a stack that supports push, pop, top, and retrieving the minimum element in constant time.


push(x) -- Push element x onto stack.


pop() -- Removes the element on top of the stack.


top() -- Get the top element.


getMin() -- Retrieve the minimum element in the stack.




Example:

MinStack minStack = new MinStack();
minStack.push(-2);
minStack.push(0);
minStack.push(-3);
minStack.getMin();   --> Returns -3.
minStack.pop();
minStack.top();      --> Returns 0.
minStack.getMin();   --> Returns -2.







";"
```cpp
/**
 * Your MinStack object will be instantiated and called as such:
 * MinStack obj = new MinStack();
 * obj.push(x);
 * obj.pop();
 * int param_3 = obj.top();
 * int param_4 = obj.getMin();
 */
class MinStack {
    stack<int> s, ms;
public:
    /** initialize your data structure here. */
    MinStack() {
        
    }
    
    void push(int x) {
        s.push(x);
        if (ms.empty() || x <= ms.top()) ms.push(x);
    }
    
    void pop() {
        if (s.top() == ms.top()) ms.pop();
        s.pop();
    }
    
    int top() {
        return s.top();
    }
    
    int getMin() {
        return ms.top();
    }
};
```


"
0154 Find Minimum in Rotated Sorted Array II;"https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/description/

* algorithms
* Hard (38.99%)
* Total Accepted:    122.1K
* Total Submissions: 313.1K
* Testcase Example:  '[1,3,5]'

Suppose an array sorted in ascending order is rotated at some pivot unknown to you beforehand.

(i.e.,  [0,1,2,4,5,6,7] might become  [4,5,6,7,0,1,2]).

Find the minimum element.

The array may contain duplicates.

Example 1:


Input: [1,3,5]
Output: 1

Example 2:


Input: [2,2,2,0,1]
Output: 0

Note:


	This is a follow up problem to Find Minimum in Rotated Sorted Array.
	Would allow duplicates affect the run-time complexity? How and why?







";"
一遍过，类似153的思路，进行搜索，唯一要注意的是如果nums[mi] == nums[lo]是无法判断当前是在前半部分还是后半部分的，这时把lo++就行了，发展nums[mi] == nums[lo]，不用担心把最小值给排除在外了。

```cpp
class Solution {
public:
    int findMin(vector<int>& nums) {
        int lo = 0, hi = nums.size()-1, mi;
        while (lo < hi) {
            if (nums[lo] < nums[hi]) break;
            mi = (lo + hi) >> 1;
            if (nums[mi] == nums[lo]) {
                lo++;
            } else if (nums[mi] > nums[lo]) {
                lo = mi+1;
            } else {
                hi = mi;
            }
        }
        return nums[lo];
    }
};
```


"
0153 Find Minimum in Rotated Sorted Array;"https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/description/

* algorithms
* Medium (42.49%)
* Total Accepted:    261.6K
* Total Submissions: 615.6K
* Testcase Example:  '[3,4,5,1,2]'

Suppose an array sorted in ascending order is rotated at some pivot unknown to you beforehand.

(i.e.,  [0,1,2,4,5,6,7] might become  [4,5,6,7,0,1,2]).

Find the minimum element.

You may assume no duplicate exists in the array.

Example 1:


Input: [3,4,5,1,2] 
Output: 1


Example 2:


Input: [4,5,6,7,0,1,2]
Output: 0







";"
每次折半查找都会有三种情况，第一[lo, hi]是顺序的，那么直接去nums[lo]即可。第二当前处于前半部分，那么最小值在[mi+1, hi]中，第三当前处于后半部分，那么最小值存在在[lo, mi]当中，注意这时是不能排除mi的，因为可能mi就是最小值。这也是为什么边界用闭闭区间的原因。其实用开闭区间也可以的，只是要判断`while (lo < hi-1)`。

```cpp
class Solution {
public:
    int findMin(vector<int>& nums) {
        if (nums.empty()) return 0;
        int lo = 0, hi = nums.size()-1, mi = 0;
        while (lo < hi) {
            if (nums[lo] < nums[hi]) break;
            mi = (lo + hi) >> 1;
            if (nums[mi] >= nums[lo]) {
                lo = mi+1;
            } else {
                hi = mi;
            }
        }
        return nums[lo];
    }
};
```


"
0152 Maximum Product Subarray;"https://leetcode.com/problems/maximum-product-subarray/description/

* algorithms
* Medium (28.58%)
* Total Accepted:    191.7K
* Total Submissions: 670.5K
* Testcase Example:  '[2,3,-2,4]'

Given an integer array nums, find the contiguous subarray within an array (containing at least one number) which has the largest product.

Example 1:


Input: [2,3,-2,4]
Output: 6
Explanation: [2,3] has the largest product 6.


Example 2:


Input: [-2,0,-1]
Output: 0
Explanation: The result cannot be 2, because [-2,-1] is not a subarray.







";"
```cpp
class Solution {
public:
    int maxProduct(vector<int>& nums) {
        int mx = 1, mn = 1, result = INT_MIN;
        for (auto n : nums) {
            int a = mx, b = mn;
            mx = max(max(a*n, b*n), n);
            mn = min(min(a*n, b*n), n);
            result = max(mx, result);
        }
        return result;
    }
};
```


"
0151 Reverse Words in a String;"https://leetcode.com/problems/reverse-words-in-a-string/description/

* algorithms
* Medium (15.94%)
* Total Accepted:    260.2K
* Total Submissions: 1.6M
* Testcase Example:  '""the sky is blue""'

Given an input string, reverse the string word by word.

 

Example 1:


Input: ""the sky is blue""
Output: ""blue is sky the""


Example 2:


Input: ""  hello world!  ""
Output: ""world! hello""
Explanation: Your reversed string should not contain leading or trailing spaces.


Example 3:


Input: ""a good   example""
Output: ""example good a""
Explanation: You need to reduce multiple spaces between two words to a single space in the reversed string.


 

Note:


	A word is defined as a sequence of non-space characters.
	Input string may contain leading or trailing spaces. However, your reversed string should not contain leading or trailing spaces.
	You need to reduce multiple spaces between two words to a single space in the reversed string.


 

Follow up:

For C programmers, try to solve it in-place in O(1) extra space.





";"
```cpp
class Solution {
public:
    void reverseWords(string &s) {
        if (s.length() == 0) return ;
        s.push_back(' ');
        int l=0, r=0; char pre = ' '; char cur;
        for (int i=0; i<s.length(); i++) {
        	cur = s[i];
        	if (cur != ' ') {
        		if (pre == ' ') l = r;
        		s[r++] = cur;
        	} else if (pre != ' ') {
        		reverse(s.begin()+l, s.begin()+r);
        		s[r++] = ' ';
        	}
        	pre = cur;
        }
        if (r >= 1) r--;
        s.erase(r, s.length()-r);
        reverse(s.begin(), s.end());
    }
};
```


"
0150 Evaluate Reverse Polish Notation;"https://leetcode.com/problems/evaluate-reverse-polish-notation/description/

* algorithms
* Medium (31.40%)
* Total Accepted:    151.1K
* Total Submissions: 481K
* Testcase Example:  '[""2"",""1"",""+"",""3"",""*""]'

Evaluate the value of an arithmetic expression in Reverse Polish Notation.

Valid operators are +, -, *, /. Each operand may be an integer or another expression.

Note:


	Division between two integers should truncate toward zero.
	The given RPN expression is always valid. That means the expression would always evaluate to a result and there won't be any divide by zero operation.


Example 1:


Input: [""2"", ""1"", ""+"", ""3"", ""*""]
Output: 9
Explanation: ((2 + 1) * 3) = 9


Example 2:


Input: [""4"", ""13"", ""5"", ""/"", ""+""]
Output: 6
Explanation: (4 + (13 / 5)) = 6


Example 3:


Input: [""10"", ""6"", ""9"", ""3"", ""+"", ""-11"", ""*"", ""/"", ""*"", ""17"", ""+"", ""5"", ""+""]
Output: 22
Explanation: 
  ((10 * (6 / ((9 + 3) * -11))) + 17) + 5
= ((10 * (6 / (12 * -11))) + 17) + 5
= ((10 * (6 / -132)) + 17) + 5
= ((10 * 0) + 17) + 5
= (0 + 17) + 5
= 17 + 5
= 22







";"
注意a和b的顺序，是b先出栈，a后出栈。注意存在""-11""这种数字。

```cpp
class Solution {
public:
    int evalRPN(vector<string>& tokens) {
        if (tokens.empty()) return 0;
        stack<int> s;
        for (string& token : tokens) {
            char ch = token[0];
            if (token.length() > 1 || isdigit(ch)) {
                int i = 0; if (ch == '-') i = 1;
                int n = 0; for (;i<token.length(); i++) n = n*10 + token[i]-'0';
                if (ch == '-') n = -n;
                s.push(n);
                continue;
            }
            int b = s.top(); s.pop();
            int a = s.top(); s.pop();
            int c;
            switch(ch) {
                case '+': c = a + b; break;
                case '-': c = a - b; break;
                case '*': c = a * b; break;
                case '/': c = a / b; break;
            }
            s.push(c);
        }
        return s.top();
    }
};
```


"
0149 Max Points on a Line;"https://leetcode.com/problems/max-points-on-a-line/description/

* algorithms
* Hard (15.56%)
* Total Accepted:    113.4K
* Total Submissions: 728.4K
* Testcase Example:  '[[1,1],[2,2],[3,3]]'

Given n points on a 2D plane, find the maximum number of points that lie on the same straight line.

Example 1:


Input: [[1,1],[2,2],[3,3]]
Output: 3
Explanation:
^
|
|        o
|     o
|  o  
+------------->
0  1  2  3  4


Example 2:


Input: [[1,1],[3,2],[5,3],[4,1],[2,3],[1,4]]
Output: 4
Explanation:
^
|
|  o
|     o        o
|        o
|  o        o
+------------------->
0  1  2  3  4  5  6







";"
```cpp
/**
 * Definition for a point.
 * struct Point {
 *     int x;
 *     int y;
 *     Point() : x(0), y(0) {}
 *     Point(int a, int b) : x(a), y(b) {}
 * };
 */
class Solution {
public:
    int maxPoints(vector<Point>& points) {
        if (points.size() <= 2) return points.size();
        unordered_map<double, int> slopes; int len = points.size();
        int result = 0;
        for (int i=0; i<len-1; i++) {
            slopes.clear(); int samept = 0, maxpt = 1;
            for (int j=i+1; j<len; j++) {
                double slope = 0;
                if      (points[i].x != points[j].x) slope = (points[i].y-points[j].y)*1.0/(points[i].x-points[j].x);
                else if (points[i].y != points[j].y) slope = std::numeric_limits<double>::infinity();
                else                                 { samept++; continue; }
                int count = slopes[slope]; count = count==0 ? 2 : count+1; slopes[slope] = count;
                if (count > maxpt) maxpt = count;
            }
            if (result < maxpt+samept) result = maxpt+samept;
        }
        return result;
    }
};
```


"
0148 Sort List;"https://leetcode.com/problems/sort-list/description/

* algorithms
* Medium (34.02%)
* Total Accepted:    171.4K
* Total Submissions: 503.5K
* Testcase Example:  '[4,2,1,3]'

Sort a linked list in O(n log n) time using constant space complexity.

Example 1:


Input: 4->2->1->3
Output: 1->2->3->4


Example 2:


Input: -1->5->3->4->0
Output: -1->0->3->4->5






";"
quicksort，list版本的快排，用的算法导论的版本，不过将尾部取x值改成从第一个位置取x值。

```cpp
/**
 * Definition for singly-linked list.
 * struct ListNode {
 *     int val;
 *     ListNode *next;
 *     ListNode(int x) : val(x), next(NULL) {}
 * };
 */
class Solution {
public:
    ListNode* sortList(ListNode* head) {
        sortList(head, NULL);
        return head;
    }

    void sortList(ListNode *head, ListNode *rear) {
        if (head == rear || head->next == rear) return;
        int x = head->val; auto q = head;
        for (auto p = head; p != rear; p = p->next) {
            if (p->val < x) {
                q = q->next;
                swap(p->val, q->val);
            }
        }
        swap(head->val, q->val);
        sortList(head   , q   );
        sortList(q->next, rear);
    }
};
```

```cpp
/**
 * Definition for singly-linked list.
 * struct ListNode {
 *     int val;
 *     ListNode *next;
 *     ListNode(int x) : val(x), next(NULL) {}
 * };
 */
class Solution {
public:
    ListNode *sortList(ListNode *head) {
        ListNode *mi = head, *hi = head;
        int n = 0;
        while (hi != NULL && hi->next != NULL) {
            n++;
            mi = mi->next;
            hi = hi->next->next;
        }
        
        // less than one node
        if (n == 0) 
            return head;
            
        if (n == 1) 
            mi = head;
        
        ListNode *lo = head;
        hi = mi->next;
        mi->next = NULL;
        lo = sortList(lo);
        hi = sortList(hi);
        
        ListNode dummy(0);
        ListNode *rt = &dummy;
        ListNode *it = rt;
        while (lo != NULL && hi != NULL) {
            if (lo->val < hi->val) {
                it->next = lo;
                lo = lo->next;
            } else {
                it->next = hi;
                hi = hi->next;
            }
            it = it->next;
        }
        
        if (lo) 
            it->next = lo;
        else if (hi)
            it->next = hi;
        
        head = rt->next;
    }
};
```


"
0147 Insertion Sort List;"https://leetcode.com/problems/insertion-sort-list/description/

* algorithms
* Medium (36.44%)
* Total Accepted:    142.2K
* Total Submissions: 390K
* Testcase Example:  '[4,2,1,3]'

Sort a linked list using insertion sort.





A graphical example of insertion sort. The partial sorted list (black) initially contains only the first element in the list.
With each iteration one element (red) is removed from the input data and inserted in-place into the sorted list
 




Algorithm of Insertion Sort:


	Insertion sort iterates, consuming one input element each repetition, and growing a sorted output list.
	At each iteration, insertion sort removes one element from the input data, finds the location it belongs within the sorted list, and inserts it there.
	It repeats until no input elements remain.



Example 1:


Input: 4->2->1->3
Output: 1->2->3->4


Example 2:


Input: -1->5->3->4->0
Output: -1->0->3->4->5








";"
用链表实现插入排序，要注意用`p->next`和`q->next`，因为需要移动节点。

```cpp
/**
 * Definition for singly-linked list.
 * struct ListNode {
 *     int val;
 *     ListNode *next;
 *     ListNode(int x) : val(x), next(NULL) {}
 * };
 */
class Solution {
public:
    ListNode* insertionSortList(ListNode* head) {
        if (!head || !head->next) return head;
        ListNode dummy(0); dummy.next = head;
        auto q = head, p = &dummy;
        while (q->next) {
            for (p = &dummy; p->next != q->next; p = p->next) 
                if (p->next->val > q->next->val) break;
            if (p->next == q->next) { q = q->next; continue; }
            auto tmp = q->next; q->next = q->next->next;
            tmp->next = p->next; p->next = tmp;
        }
        return dummy.next;
    }
};
```


"
0146 LRU Cache;"https://leetcode.com/problems/lru-cache/description/

* algorithms
* Hard (24.11%)
* Total Accepted:    265.3K
* Total Submissions: 1.1M
* Testcase Example:  '[""LRUCache"",""put"",""put"",""get"",""put"",""get"",""put"",""get"",""get"",""get""]\n[[2],[1,1],[2,2],[1],[3,3],[2],[4,4],[1],[3],[4]]'


Design and implement a data structure for Least Recently Used (LRU) cache. It should support the following operations: get and put.



get(key) - Get the value (will always be positive) of the key if the key exists in the cache, otherwise return -1.
put(key, value) - Set or insert the value if the key is not already present. When the cache reached its capacity, it should invalidate the least recently used item before inserting a new item.


Follow up:
Could you do both operations in O(1) time complexity?

Example:

LRUCache cache = new LRUCache( 2 /* capacity */ );

cache.put(1, 1);
cache.put(2, 2);
cache.get(1);       // returns 1
cache.put(3, 3);    // evicts key 2
cache.get(2);       // returns -1 (not found)
cache.put(4, 4);    // evicts key 1
cache.get(1);       // returns -1 (not found)
cache.get(3);       // returns 3
cache.get(4);       // returns 4







";"
```cpp
class LRUCache {
public:
    LRUCache(int capacity) {
        this->capacity = capacity;
    }
    
    int get(int key) {
        auto it = tbl_.find(key);
        if (it == end(tbl_)) return -1;
        lst_.splice(lst_.begin(), lst_, it->second);
        return it->second->val;
    }
    
    void put(int key, int val) {
        auto it = tbl_.find(key);
        if (it == end(tbl_)) {
            if (lst_.size() >= capacity) {
                tbl_.erase(lst_.back().key);
                lst_.pop_back();
            }
            lst_.emplace_front(key, val);
            tbl_.insert({key, lst_.begin()});
        } else {
            it->second->val = val;
            lst_.splice(lst_.begin(), lst_, it->second);
            tbl_[key] = lst_.begin();
        }
    }
private:
    struct Node {
        int key, val;
        Node(int k, int v) : key(k), val(v) {}
    };
    list<Node> lst_;
    unordered_map<int, list<Node>::iterator> tbl_;
    int capacity;
};

/**
 * Your LRUCache object will be instantiated and called as such:
 * LRUCache obj = new LRUCache(capacity);
 * int param_1 = obj.get(key);
 * obj.put(key,value);
 */
```


"
0145 Binary Tree Postorder Traversal;"https://leetcode.com/problems/binary-tree-postorder-traversal/description/

* algorithms
* Hard (46.99%)
* Total Accepted:    238.3K
* Total Submissions: 507.1K
* Testcase Example:  '[1,null,2,3]'

Given a binary tree, return the postorder traversal of its nodes' values.

Example:


Input: [1,null,2,3]
   1
    \
     2
    /
   3

Output: [3,2,1]


Follow up: Recursive solution is trivial, could you do it iteratively?






";"
```cpp
/**
 * Definition for binary tree
 * struct TreeNode {
 *     int val;
 *     TreeNode *left;
 *     TreeNode *right;
 *     TreeNode(int x) : val(x), left(NULL), right(NULL) {}
 * };
 */
class Solution {
public:
    void postorderTraversal(TreeNode *node, vector<int>& result) {
        if (!node) return;
        postorderTraversal(node->left , result);
        postorderTraversal(node->right, result);
        result.push_back(node->val);
    }
    
    vector<int> postorderTraversal(TreeNode *root) {
        vector<int> result; if (!root) return result;
        postorderTraversal(root, &result);
        return result;
    }
};
```


"
0144 Binary Tree Preorder Traversal;"https://leetcode.com/problems/binary-tree-preorder-traversal/description/

* algorithms
* Medium (50.32%)
* Total Accepted:    308.4K
* Total Submissions: 612.7K
* Testcase Example:  '[1,null,2,3]'

Given a binary tree, return the preorder traversal of its nodes' values.

Example:


Input: [1,null,2,3]
   1
    \
     2
    /
   3

Output: [1,2,3]


Follow up: Recursive solution is trivial, could you do it iteratively?







";"
```cpp
/**
 * Definition for a binary tree node.
 * struct TreeNode {
 *     int val;
 *     TreeNode *left;
 *     TreeNode *right;
 *     TreeNode(int x) : val(x), left(NULL), right(NULL) {}
 * };
 */
class Solution {
public:
    vector<int> preorderTraversal(TreeNode* root) {
        stack<TreeNode *> s; vector<int> result; auto p = root;
        while (!s.empty() || !p) {
            if (p) {
                result.push_back(p->val);
                s.push(p);
                p = p->left;
            } else {
                p = s.top(); 
                p = p->right;
                s.pop();
            }
        }
        return result;
    }
};
```


"
0143 Reorder List;"https://leetcode.com/problems/reorder-list/description/

* algorithms
* Medium (29.87%)
* Total Accepted:    143.8K
* Total Submissions: 481.5K
* Testcase Example:  '[1,2,3,4]'

Given a singly linked list L: L0→L1→…→Ln-1→Ln,
reorder it to: L0→Ln→L1→Ln-1→L2→Ln-2→…

You may not modify the values in the list's nodes, only nodes itself may be changed.

Example 1:


Given 1->2->3->4, reorder it to 1->4->2->3.

Example 2:


Given 1->2->3->4->5, reorder it to 1->5->2->4->3.







";"
```cpp
/**
 * Definition for singly-linked list.
 * struct ListNode {
 *     int val;
 *     ListNode *next;
 *     ListNode(int x) : val(x), next(NULL) {}
 * };
 */
class Solution {
public:
    void reorderList(ListNode* head) {
        // len.
        int len=0; ListNode *p1=head, *p2=head;
        while (p1 != nullptr) { p1 = p1->next; len++; }
        if (len <= 2) return ;
        // spilt.
        int mid = (len+1) / 2;
        p1 = head;
        for (int i=0; i<mid-1; i++) p1 = p1->next;
        p2 = p1->next; p1->next = nullptr;
        // reverse.
        if (len-mid > 1) {
            p1 = p2; p2 = p1->next; p1->next = nullptr; ListNode *p3 = p2->next;
            while (p3 != nullptr) { p2->next = p1; p1 = p2; p2 = p3; p3 = p3->next; }
            p2->next = p1;
        }
        // merge.
        p1 = head;
        ListNode dummy(0), *p = &dummy; p->next = nullptr;
        for (int i=0; i<len-mid; ++i) { 
            p->next = p1; p1 = p1->next; p = p->next; 
            p->next = p2; p2 = p2->next; p = p->next;
        }
        p->next = p1;
    }
};
```


"
